id,content,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10
1,Thiago,0,3,0,1,4,0,3,0,0,0
2,Bruno,2,1,3,0,0,0,0,0,2,0
3,Kim,3,2,0,3,0,0,4,4,0,0
4,Gil,5,4,3,0,0,0,2,3,1,0
5,Renata,1,2,0,4,5,3,1,3,1,4
=================================================================================
id,content,criticity,precedes,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10
1,Task 001,major,-1,0,3,5,5,0,5,4,0,1,0
2,Task 002,minor,-1,2,0,0,0,0,5,5,0,0,0
3,Task 003,minor,-1,0,3,0,5,5,2,0,2,0,4
4,Task 004,minor,-1,0,0,4,5,1,1,4,0,4,0
5,Task 005,critical,-1,2,1,1,0,4,0,3,1,0,0
6,Task 006,major,-1,0,0,0,1,0,2,2,0,3,0
7,Task 007,minor,-1,0,4,4,4,2,5,0,5,0,0
8,Task 008,minor,-1,0,2,5,4,0,0,0,3,0,5
9,Task 009,major,-1,4,5,0,0,2,3,0,0,0,0
10,Task 010,minor,-1,0,5,0,0,2,0,0,0,1,0
11,Task 011,minor,-1,3,1,3,0,2,0,0,2,0,0
12,Task 012,critical,-1,0,0,4,1,2,0,0,0,0,2
13,Task 013,minor,-1,0,1,0,0,3,1,0,5,0,3
14,Task 014,minor,45,3,0,0,4,0,1,0,0,0,0
15,Task 015,minor,3,1,0,4,2,4,0,0,4,2,0
16,Task 016,minor,-1,5,0,1,0,4,3,0,0,0,0
17,Task 017,minor,-1,0,5,0,0,0,0,0,2,3,0
18,Task 018,major,-1,1,3,0,0,0,0,0,0,5,0
19,Task 019,minor,23,0,0,0,4,0,0,4,5,5,0
20,Task 020,critical,-1,4,0,0,0,5,0,0,0,4,0
21,Task 021,minor,16,0,5,5,0,0,0,4,0,0,4
22,Task 022,minor,9,5,0,2,0,0,4,4,0,0,0
23,Task 023,major,-1,1,2,0,5,2,0,4,0,4,0
24,Task 024,minor,20,0,0,0,0,2,0,5,2,0,0
25,Task 025,major,-1,0,0,0,0,0,4,5,0,4,3
26,Task 026,minor,32,2,5,5,3,3,0,0,0,0,0
27,Task 027,minor,-1,0,0,0,2,5,0,4,4,3,0
28,Task 028,major,-1,5,0,0,3,2,0,0,2,3,0
29,Task 029,minor,-1,0,1,3,4,0,0,0,3,2,5
30,Task 030,major,-1,4,0,4,0,4,0,0,0,2,1
31,Task 031,minor,-1,2,2,5,4,0,4,3,0,0,0
32,Task 032,major,-1,0,0,5,0,0,0,3,0,5,2
33,Task 033,minor,9,0,2,0,0,3,5,2,0,0,3
34,Task 034,critical,28,5,0,0,2,0,0,1,2,1,5
35,Task 035,major,-1,0,0,0,0,0,3,0,2,0,5
36,Task 036,major,-1,1,1,0,0,0,0,5,0,0,0
37,Task 037,minor,-1,0,3,3,0,0,0,1,2,2,0
38,Task 038,minor,11,2,0,3,0,2,2,0,0,0,5
39,Task 039,minor,-1,3,0,5,0,3,2,5,0,2,0
40,Task 040,minor,-1,1,0,0,0,0,0,4,0,3,0
41,Task 041,minor,-1,0,1,3,3,0,0,0,0,2,4
42,Task 042,minor,-1,5,0,0,5,3,0,4,0,2,5
43,Task 043,minor,-1,0,1,5,0,0,0,5,0,4,3
44,Task 044,minor,-1,1,0,2,0,0,4,3,0,0,5
45,Task 045,minor,29,0,4,2,4,1,0,0,0,0,0
46,Task 046,minor,-1,5,0,0,5,0,5,0,0,1,4
47,Task 047,major,24,3,3,0,0,2,0,5,0,0,0
48,Task 048,minor,-1,3,4,0,4,0,3,0,0,3,4
49,Task 049,critical,28,0,4,5,0,0,1,5,0,0,0
50,Task 050,minor,-1,2,4,3,0,2,0,4,4,0,0
