id,content,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10
1,Thiago,0,3,0,1,4,0,3,0,0,0
2,Bruno,2,1,3,0,0,0,0,0,2,0
3,Kim,3,2,0,3,0,0,4,4,0,0
=================================================================================
id,content,criticity,precedes,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10
1,Task 1,minor,-1,0,5,5,0,0,1,0,0,1,1
2,Task 2,major,14,5,0,0,0,0,0,1,0,0,4
3,Task 3,minor,-1,3,3,0,0,2,3,1,4,0,0
4,Task 4,minor,-1,0,0,2,0,1,0,0,2,5,0
5,Task 5,major,2,4,4,0,1,0,1,5,5,1,0
6,Task 6,minor,-1,0,0,0,0,4,0,4,2,0,0
7,Task 7,minor,-1,0,1,0,4,2,1,5,0,3,1
8,Task 8,critical,11,5,0,0,3,5,4,5,0,0,0
9,Task 9,minor,-1,3,0,1,5,0,5,0,1,1,4
10,Task 10,minor,-1,1,0,2,5,0,1,0,2,4,2
11,Task 11,minor,-1,0,5,0,2,0,0,3,0,5,3
12,Task 12,minor,-1,0,2,0,0,0,4,3,0,0,3
13,Task 13,minor,-1,5,1,0,0,4,0,5,4,0,0
14,Task 14,minor,-1,0,0,1,0,1,2,1,0,0,2
15,Task 15,minor,-1,2,0,0,4,0,0,1,0,0,2
16,Task 16,major,-1,0,4,2,0,0,0,4,5,5,3
17,Task 17,minor,-1,5,0,0,2,0,0,0,1,1,0
18,Task 18,minor,-1,2,3,0,2,4,0,0,0,0,4
19,Task 19,minor,-1,0,0,1,1,2,5,2,0,0,1
20,Task 20,minor,-1,4,0,0,0,0,3,0,0,4,2
21,Task 21,minor,16,5,0,0,0,1,0,2,5,5,0
22,Task 22,minor,-1,1,0,2,0,0,0,0,3,5,0
23,Task 23,major,-1,3,0,0,0,0,0,5,0,2,4
24,Task 24,major,-1,2,0,0,5,0,4,0,5,0,3
25,Task 25,critical,-1,0,3,0,2,0,0,0,5,0,3
